Estimator,Abbreviated String,Original Implementation
Logistic Regression,lr,linear_model.LogisticRegression
K Nearest Neighbour,knn,neighbors.KNeighborsClassifier
Naives Bayes,nb,naive_bayes.GaussianNB
Decision Tree,dt,tree.DecisionTreeClassifier
SVM (Linear),svm,linear_model.SGDClassifier
SVM (RBF),rbfsvm,svm.SVC
Gaussian Process,gpc,gaussian_process.GPC
Multi Level Perceptron,mlp,neural_network.MLPClassifier
Ridge Classifier,ridge,linear_model.RidgeClassifier
Random Forest,rf,ensemble.RandomForestClassifier
Quadratic Disc. Analysis,qda,discriminant_analysis.QDA
AdaBoost,ada,ensemble.AdaBoostClassifier
Gradient Boosting,gbc,ensemble.GradientBoostingClassifier
Linear Disc. Analysis,lda,discriminant_analysis.LDA
Extra Trees Classifier,et,ensemble.ExtraTreesClassifier
Extreme Gradient Boosting,xgboost,xgboost.readthedocs.io
Light Gradient Boosting,lightgbm,github.com/microsoft/LightGBM
CatBoost Classifier,catboost,https://catboost.ai
